,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,101601.74715054242,2033-05-01,2033-05-01 00:00:00,2034-12-02 10:00:00
1,1,Invenergy Wind Offshore,52608,88913.09119542381,97053.53195358184,2029-05-01,2033-06-21 18:00:00,2034-05-26 22:00:00
2,2,Community Wind,52608,76896.25007623818,88913.09119542381,2029-05-01,2032-02-07 01:00:00,2033-06-21 18:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,70562.69955848649,83246.77386406958,2030-05-01,2031-05-19 03:00:00,2032-10-28 15:00:00
4,4,Duke Energy Renewables Wind,61368,76718.18141631437,82401.55906272266,2030-05-01,2032-01-30 15:00:00,2032-09-23 10:00:00
5,5,Beacon Wind residual,52608,66753.7406317717,76896.25007623818,2029-05-01,2030-12-11 10:00:00,2032-02-07 01:00:00
6,6,TotalEnergies Renewables USA,61368,71034.80376990608,76718.18141631437,2030-05-01,2031-06-07 19:00:00,2032-01-30 15:00:00
7,7,Kitty Hawk residual,52608,58350.72946432298,71034.80376990608,2029-05-01,2029-12-26 07:00:00,2031-06-07 19:00:00
8,8,Attentive Energy,52632,62539.970939603336,70938.83838849653,2029-05-02,2030-06-18 20:00:00,2031-06-03 19:00:00
9,9,Garden State Offshore Energy,52608,58278.2446365045,70562.69955848649,2029-05-01,2029-12-23 07:00:00,2031-05-19 03:00:00
10,10,Bay State Wind,43848,49728.0,67013.91313122856,2028-05-01,2029-01-01 00:00:00,2030-12-22 06:00:00
11,11,Ocean Wind 2,35064,57026.92136020796,66753.7406317717,2027-05-01,2029-11-01 03:00:00,2030-12-11 10:00:00
12,12,Atlantic Shores Offshore Wind Bight,52608,54539.9935268129,62539.970939603336,2029-05-01,2029-07-20 12:00:00,2030-06-18 20:00:00
13,13,OW Ocean Winds East,52608,55276.19710193679,60316.980784263505,2029-05-01,2029-08-20 05:00:00,2030-03-18 05:00:00
14,14,Mayflower Wind residual,43848,53648.30879424111,58350.72946432298,2028-05-01,2029-06-13 09:00:00,2029-12-26 07:00:00
15,15,Mid-Atlantic Offshore Wind,52608,53755.77754863892,58278.2446365045,2029-05-01,2029-06-17 20:00:00,2029-12-23 07:00:00
16,16,Sunrise Wind residual,35064,47702.21553118497,57026.92136020796,2027-05-01,2028-10-08 15:00:00,2029-11-01 03:00:00
17,17,Beacon Wind 1,35064,48185.65746998106,55276.19710193679,2027-05-01,2028-10-28 18:00:00,2029-08-20 05:00:00
18,18,Commonwealth Wind,26304,44011.87435317893,54539.9935268129,2026-05-01,2028-05-07 20:00:00,2029-07-20 12:00:00
19,19,Atlantic Shores Offshore Wind 1,26304,40944.0,53755.77754863892,2026-05-01,2028-01-01 00:00:00,2029-06-17 20:00:00
20,20,Skipjack 2,26304,45080.234518922676,53648.30879424111,2026-05-01,2028-06-21 09:00:00,2029-06-13 09:00:00
21,21,Empire Wind 2,26304,40944.0,48185.65746998106,2026-05-01,2028-01-01 00:00:00,2028-10-28 18:00:00
22,22,Mayflower Wind 2,27048,45314.30685040177,47702.21553118497,2026-06-01,2028-07-01 03:00:00,2028-10-08 15:00:00
23,23,Kitty Hawk 1,17544,36811.93956566109,45314.30685040177,2025-05-01,2027-07-12 20:00:00,2028-07-01 03:00:00
24,24,Momentum Wind,17544,36128.844466751965,45080.234518922676,2025-05-01,2027-06-14 09:00:00,2028-06-21 09:00:00
25,25,Park City Wind,18288,37172.149228164046,44011.87435317893,2025-06-01,2027-07-27 21:00:00,2028-05-07 20:00:00
26,26,Empire Wind 1,17544,31333.086937070853,37172.149228164046,2025-05-01,2026-11-26 14:00:00,2027-07-27 21:00:00
27,27,Coastal Virginia Offshore Wind,8784,14604.44691725936,36811.93956566109,2024-05-01,2024-12-29 13:00:00,2027-07-12 20:00:00
28,28,Skipjack 1,17544,34870.70854391102,36128.844466751965,2025-05-01,2027-04-22 23:00:00,2027-06-14 09:00:00
29,29,Ocean Wind 1,9528,23424.0,34870.70854391102,2024-06-01,2026-01-01 00:00:00,2027-04-22 23:00:00
30,30,Mayflower Wind 1,17544,26630.666266988974,31333.086937070853,2025-05-01,2026-05-14 15:00:00,2026-11-26 14:00:00
31,31,MarWin,9528,23988.70582902299,26630.666266988974,2024-06-01,2026-01-24 13:00:00,2026-05-14 15:00:00
32,32,Sunrise Wind 1,9528,14664.0,23988.70582902299,2024-06-01,2025-01-01 00:00:00,2026-01-24 13:00:00
33,33,Revolution Wind,744,7166.319972497762,14604.44691725936,2023-06-01,2024-02-23 15:00:00,2024-12-29 13:00:00
34,34,South Fork,0,5781.245457372723,7166.319972497762,2023-05-01,2023-12-27 22:00:00,2024-02-23 15:00:00
35,35,Vineyard Wind 1,0,0.0,5781.245457372723,2023-05-01,2023-05-01 00:00:00,2023-12-27 22:00:00
